event_id,queue_id,repair_class,url,status,body_hash,body_path,metadata_path,error
fbi-bitcoin-intelligence-assessment-2012-04,85,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
fincen-virtual-currency-msb-guidance-2013,86,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
france-amf-binance-psan-2022,87,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
fsb-crypto-asset-recommendations-2023,88,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
g20-roadmap-crypto-asset-policy-2023,91,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
g7-hiroshima-crypto-statement-2023,92,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
hongkong-hkma-stablecoins-ordinance-2025,99,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
hongkong-sfc-bybit-warning-2024,100,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
hongkong-sfc-jpex-block-2023,101,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
hongkong-sfc-vatp-licensing-2023-06,102,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
huobi-htx-privacy-coin-delisting-2024,103,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
iceland-cbi-foreign-exchange-bitcoin-2014,106,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
indonesia-bappebti-illegal-exchange-block-2023,109,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
indonesia-bi-bitcoin-warning-2014,110,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
infura-metamask-donetsk-luhansk-block-2022-03,112,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
iran-cbi-crypto-banking-prohibition-2018,113,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
israel-nbctf-hamas-crypto-addresses-2021,117,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
japan-fsa-binance-sakura-acquisition-2022-11,118,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
