event_id,research_stratum,empirical_shape,admission_tier,applicable_layer_count,coverage_denominator_layer_count,non_na_layer_count,changed_layer_count,coverage_matched_changed_layer_count,cascade_breadth,non_na_cascade_breadth,time_to_first_change_hours,time_to_last_change_hours,cascade_span_hours,direct_attribution_layer_count,plausible_attribution_layer_count,recovered_layer_count,unrecovered_layer_count,recovery_unknown_layer_count,recovery_rate,mean_resolved_hours,coverage_measured_count,coverage_partial_count,coverage_gap_count,primary_source_count,semi_primary_source_count,primary_onchain_source_count,changed_action_count,changed_unique_action_count,has_large_target_set,is_reversal_event,trigger_is_action,target_is_privacy_tool
lockbit-affiliates-ofac-2024,S1_ofac_sdn,comparison,empirical_case,2,2,4,1,1,0.5,,24.32,24.32,0.0,1,0,0,0,1,0.0,,2,0,2,3,2,1,1,1,false,false,false,false
lockbit-leader-ofac-2024,S1_ofac_sdn,null_event,null_case,1,1,1,0,0,0.0,0.0,,,,0,0,0,0,0,,,1,0,0,1,0,0,0,0,false,false,false,false
malaysia-sc-binance-disable-2021,S4_nation_state,comparison,empirical_case,2,2,3,2,2,1.0,,0.0,0.0,0.0,1,1,0,0,2,0.0,,0,2,1,2,0,0,2,2,false,false,false,false
matveev-ofac-2023,S1_ofac_sdn,null_event,null_case,1,1,2,0,0,0.0,,,,,0,0,0,0,0,,,1,0,1,1,0,0,0,0,false,false,false,false
netherlands-dnb-binance-warning-2021,S4_nation_state,comparison,empirical_case,2,2,2,2,2,1.0,1.0,7608.0,7608.0,0.0,2,0,0,0,2,0.0,,0,2,0,2,0,0,2,2,false,false,false,false
nigeria-cbn-crypto-ban-2021,S4_nation_state,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,0,0,1,1,false,false,false,false
nydfs-bitlicense-2015-06,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,24.0,1233.0,1209.0,1,1,0,0,1,0.0,,0,1,0,3,0,0,3,3,false,false,false,false
okx-privacy-token-delist-2024,S5_corporate,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,0,0,1,1,false,false,true,false
pertsev-nl-arrest-2022,S3_doj_sec_cftc_fiod,null_event,null_case,1,1,1,0,0,0.0,0.0,,,,0,0,0,0,0,,,1,0,0,1,0,0,0,0,false,false,false,true
powell-unlicensed-bitcoin-exchange-2014,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,0,0,1,1,false,false,false,false
